w1	w2	w3	x0	x1	x2	x3	x4	x5	x6	F1	F2	F3	F0
0.0	0.0	1.0	175.27472526921179	2.6021922394647845e-09	224.72527472818612	9.91576598607935e-10	249.99999999900854	789.0109890284341	58.24175822827202	-570000.0000000804	789.0109890284341	58.24175822827202	7.172121737104987e-07
0.0	0.1	0.9	175.2747252664108	3.9229348658409435e-09	224.7252747296664	1.4979661955294432e-09	249.99999999850215	789.0109890372981	58.24175822142047	-570000.0000001212	789.0109890372981	58.24175822142047	6.469862553010443e-07
0.0	0.2	0.8	175.2747252755205	0.0	224.72527472485257	0.0	250.00000000014828	789.0109890084701	58.24175824370394	-569999.9999999887	789.0109890084701	58.24175824370394	5.763439223302428e-07
0.0	0.3	0.7	175.27472527400346	3.3789149256335804e-10	224.72527472565864	1.3633894013764802e-10	249.99999999986392	789.010989013277	58.241758239992194	-570000.00000001	789.010989013277	58.241758239992194	5.060850614166145e-07
0.0	0.4	0.6	175.27472526860532	2.8847182420577155e-09	224.72527472851016	1.1091003671026556e-09	249.9999999988911	789.0109890303586	58.241758226787596	-570000.0000000887	789.0109890303586	58.241758226787596	4.359038074485434e-07
0.0	0.5	0.5	175.2747252690576	2.6744544356915867e-09	224.725274728268	1.0203109468420735e-09	249.99999999897972	789.0109890289226	58.24175822789479	-570000.0000000827	789.0109890289226	58.24175822789479	3.655617488898084e-07
0.0	0.6	0.4	175.2747252723476	1.1204264183106716e-09	224.725274726532	4.317826096666977e-10	249.9999999995685	789.0109890185147	58.241758235942115	-570000.0000000343	789.0109890185147	58.241758235942115	2.951830148316745e-07
0.0	0.7	0.3	175.27472528091695	0.0	224.72527472200198	0.0	250.00000000112107	789.0109889913938	58.241758256904426	-569999.99999991	789.0109889913938	58.241758256904426	2.247828563890241e-07
0.0	0.8	0.2	175.2747252602184	6.844629751867615e-09	224.725274732937	2.613347760416218e-09	249.9999999973869	789.0109890568921	58.2417582062735	-570000.0000002115	789.0109890568921	58.2417582062735	1.5461349547878803e-07
0.0	0.9	0.1	175.2747252740164	3.340119292261079e-10	224.72527472564963	1.2894929568574298e-10	249.99999999987125	789.0109890132327	58.241758240024446	-570000.0000000102	789.0109890132327	58.241758240024446	8.423329812845848e-08
0.0	1.0	0.0	151.76552999226783	8.404018072682344	239.83045193504984	10.310599845356705	239.6894001546433	867.3021939242249	7.105427357601002e-15	-569904.6709113662	867.3021939242249	7.105427357601002e-15	-0.09922699927405942
0.1	0.0	0.9	175.27472528028866	0.0	224.72527472233682	0.0	250.00000000100104	789.0109889933861	58.24175825536675	-569999.9999999187	789.0109889933861	58.24175825536675	6.450722521461968e-07
0.1	0.1	0.8	175.27472526644348	3.911722501470649e-09	224.72527472964498	1.4826753158558859e-09	249.99999999851747	789.0109890371889	58.241758221501414	-570000.0000001214	789.0109890371889	58.241758221501414	5.752521972498008e-07
0.1	0.2	0.7	175.2747252761164	0.0	224.72527472454513	0.0	250.00000000023894	789.0109890065949	58.24175824515983	-569999.9999999788	789.0109890065949	58.24175824515983	5.046321747759906e-07
0.1	0.3	0.6	175.27472526216812	5.925159030084615e-09	224.72527473190684	2.26103225031693e-09	249.99999999773894	789.0109890507221	58.24175821104258	-570000.0000001832	789.0109890507221	58.24175821104258	4.346679974641025e-07
0.1	0.4	0.5	175.2747252661996	4.022524535685079e-09	224.72527472977805	1.5361649730039062e-09	249.99999999846398	789.0109890379667	58.24175822090377	-570000.0000001242	789.0109890379667	58.24175822090377	3.642267181529085e-07
0.1	0.5	0.4	175.27472527758724	0.0	224.72527472376402	0.0	250.00000000051364	789.0109890019347	58.241758248758785	-569999.9999999581	789.0109890019347	58.241758248758785	2.937136865904561e-07
0.1	0.6	0.3	175.27472526360935	5.245098577688623e-09	224.7252747311457	2.001655730055063e-09	249.99999999799851	789.0109890461621	58.241758214567994	-570000.000000162	789.0109890461621	58.241758214567994	2.235640677647494e-07
0.1	0.7	0.2	175.274725276073	0.0	224.7252747245596	0.0	250.00000000025034	789.0109890067201	58.24175824505575	-569999.9999999808	789.0109890067201	58.24175824505575	1.531378874694197e-07
0.1	0.8	0.1	175.27472527924905	0.0	224.72527472288516	0.0	250.0000000008156	789.0109889966747	58.24175825282398	-569999.999999934	789.0109889966747	58.24175825282398	8.283562538770656e-08
0.1	0.9	0.0	151.7888086976204	8.185198242368283	240.02599306001133	10.776173952407905	239.2238260475921	867.5303252366799	0.0	-569870.451214498	867.5303252366799	0.0	-0.08958724940751739
0.2	0.0	0.8	175.27472526621528	4.012193244307127e-09	224.7252747297727	1.5400445363411563e-09	249.99999999846008	789.0109890379214	58.24175822094132	-570000.0000001235	789.0109890379214	58.24175822094132	5.73870475600589e-07
0.2	0.1	0.7	175.2747252767767	0.0	224.7252747241913	0.0	250.00000000036954	789.0109890044982	58.24175824677628	-569999.99999997	789.0109890044982	58.24175824677628	5.03219691267082e-07
0.2	0.2	0.6	175.27472527275773	9.310241466664593e-10	224.72527472631134	3.4843594676203793e-10	249.99999999965166	789.0109890172112	58.24175823694631	-570000.0000000291	789.0109890172112	58.24175823694631	4.3302189099110147e-07
0.2	0.3	0.5	175.27472528529267	0.0	224.72527471969207	0.0	250.00000000190647	789.0109889775504	58.241758267607054	-569999.999999846	789.0109889775504	58.241758267607054	3.624593325551592e-07
0.2	0.4	0.4	175.2747252852424	0.0	224.72527471972	0.0	250.00000000189402	789.0109889777108	58.24175826748432	-569999.9999998466	789.0109889777108	58.24175826748432	2.922034100936274e-07
0.2	0.5	0.3	175.27472526682746	3.7258161000863765e-09	224.72527472944682	1.4241123835745384e-09	249.99999999857607	789.0109890359804	58.241758222439515	-570000.000000115	789.0109890359804	58.241758222439515	2.2214168637556412e-07
0.2	0.6	0.2	175.27472526931925	2.5499389266769867e-09	224.72527472813078	9.755183327797567e-10	249.99999999902454	789.0109890280959	58.24175822853469	-570000.0000000787	789.0109890280959	58.24175822853469	1.517850973153382e-07
0.2	0.7	0.1	175.27472527688403	0.0	224.725274724126	0.0	250.00000000040825	789.0109890041462	58.24175824704113	-569999.9999999698	789.0109890041462	58.24175824704113	8.144435494772057e-08
0.2	0.8	0.0	175.27472527308896	7.762963605273399e-10	224.72527472613498	2.8551028208312346e-10	249.99999999971467	789.010989016161	58.24175823775692	-570000.0000000244	789.010989016161	58.24175823775692	1.113682562150778e-08
0.3	0.0	0.7	175.27472526589798	4.16572731865017e-09	224.72527472993636	1.5884324966464192e-09	249.9999999984118	789.0109890389195	58.24175822016635	-570000.0000001288	789.0109890389195	58.24175822016635	5.021460102411134e-07
0.3	0.1	0.6	175.27472526688248	3.7031497868156293e-09	224.72527472941454	1.4068319842408528e-09	249.9999999985934	789.010989035802	58.24175822257487	-570000.0000001148	789.010989035802	58.24175822257487	4.317756687293702e-07
0.3	0.2	0.5	175.274725270868	1.8253842881676974e-09	224.72527472730678	6.827605147918803e-10	249.99999999931748	789.0109890231871	58.241758232324486	-570000.000000057	789.0109890231871	58.241758232324486	3.6135375012874333e-07
0.3	0.3	0.4	175.27472527232143	1.1364846841388498e-09	224.7252747265422	4.2814463085960597e-10	249.99999999957208	789.0109890185923	58.24175823587903	-570000.0000000354	789.0109890185923	58.24175823587903	2.9100802567865714e-07
0.3	0.4	0.3	175.27472528235054	0.0	224.7252747212458	0.0	250.00000000137706	789.0109889868595	58.24175826041066	-569999.9999998889	789.0109889868595	58.24175826041066	2.205813127760622e-07
0.3	0.5	0.2	175.27472528451582	0.0	224.72527472010526	0.0	250.00000000175987	789.0109889800123	58.241758265706345	-569999.9999998569	789.0109889800123	58.241758265706345	1.5029722974773474e-07
